,Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
563,1513,MAZDA B4000,4.0,6,Auto-L5,2WD,Gasoline,pickup,6,15,20,17,4,no
564,1514,MAZDA B4000,4.0,6,Auto-L5,4WD,Gasoline,pickup,6,14,17,15,3,no
565,1515,MAZDA B4000,4.0,6,Man-5,4WD,Gasoline,pickup,6,15,19,16,4,no
566,1518,MAZDA CX-7,2.3,4,Auto-S6,2WD,Gasoline,SUV,6,17,23,19,5,no
567,1519,MAZDA CX-7,2.3,4,Auto-S6,4WD,Gasoline,SUV,6,16,22,18,5,no
568,1520,MAZDA CX-9,3.7,6,Auto-S6,2WD,Gasoline,SUV,7,16,22,18,5,no
569,1521,MAZDA CX-9,3.7,6,Auto-S6,4WD,Gasoline,SUV,7,15,21,17,4,no
570,1524,MAZDA MX-5,2.0,4,Auto-S6,2WD,Gasoline,small car,7,20,27,23,7,yes
571,1525,MAZDA MX-5,2.0,4,Man-6,2WD,Gasoline,small car,7,21,28,24,7,yes
572,1526,MAZDA MX-5,2.0,4,Man-5,2WD,Gasoline,small car,7,22,27,24,7,yes
573,1532,MAZDA RX-8,1.3,2,Man-6,2WD,Gasoline,small car,6,16,22,18,5,no
574,1533,MAZDA RX-8,1.3,2,Auto-S6,2WD,Gasoline,small car,6,16,23,19,5,no
575,1534,MAZDA Tribute,2.3,4,Man-5,2WD,Gasoline,SUV,7,22,28,24,7,yes
576,1538,MAZDA Tribute,2.3,4,Auto-L4,2WD,Gasoline,SUV,6,20,26,22,6,no
577,1539,MAZDA Tribute,2.3,4,Auto-L4,4WD,Gasoline,SUV,6,19,24,21,6,no
578,1542,MAZDA Tribute,3.0,6,Auto-L4,2WD,Gasoline,SUV,6,18,24,20,6,no
579,1543,MAZDA Tribute,3.0,6,Auto-L4,4WD,Gasoline,SUV,6,17,22,19,5,no
580,1544,MAZDA Tribute Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34,30,32,9,yes
581,1545,MAZDA Tribute Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29,27,28,8,yes
582,1550,MERCEDES-BENZ C300,3.0,6,Auto-L7,2WD,ethanol/gas,small car,6/4,13/18,19/25,15/21,7/6,no
